seats_flipped,party_a_final,party_b_final,party_a_majority,party_b_majority,p_min_b,p_maj_b,turnout
2,204,83,True,False,0.8095824194223854,0.32555137590082095,0.8575793759734147
0,206,81,True,False,0.6065853270003384,0.20590736438158275,0.7433631822071237
3,203,84,True,False,0.7935013989751665,0.44999341517410746,0.7039478583939146
0,206,81,True,False,0.6217866105904132,0.3711593016257846,0.6290933666116437
0,206,81,True,False,0.7706609530038551,0.17643168436775794,0.6003202395068241
0,206,81,True,False,0.561769235208857,0.2290667929018558,0.6873988360675397
3,203,84,True,False,0.7478877557518561,0.5211882432663297,0.747543774423873
0,206,81,True,False,0.5158240833560768,0.19329977658994282,0.6720746844838925
0,206,81,True,False,0.5946807978106413,0.3610545442417929,0.6202122915399019
1,205,82,True,False,0.5671751922395455,0.44632609265431467,0.8354126727564445
1,205,82,True,False,0.6067734595750914,0.4938721204967948,0.7807250886460232
0,206,81,True,False,0.6099883495348466,0.16048059367511724,0.6728022128865081
0,206,81,True,False,0.7356083283640871,0.17472478442868614,0.8466381821712321
1,205,82,True,False,0.759640639674856,0.3490788517896424,0.6279654638002381
3,203,84,True,False,0.7621227400029162,0.46320513418273707,0.848436836501256
0,206,81,True,False,0.6973886033225538,0.2922076074540986,0.6824631229875057
0,206,81,True,False,0.8222344422781868,0.2001304039097803,0.6260237304864013
0,206,81,True,False,0.6895736856369575,0.23693272086333916,0.6188289833791808
1,205,82,True,False,0.7990023551055813,0.2198209534301085,0.8794967585679112
0,206,81,True,False,0.6972837331471173,0.2458742803364486,0.6159483515204183
0,206,81,True,False,0.6612573009803574,0.21180588326245897,0.7204255018330437
0,206,81,True,False,0.5817899020055864,0.26843516746183915,0.8627177254999328
0,206,81,True,False,0.5144250837758901,0.33293533326133057,0.798159589915563
8,198,89,True,False,0.7820649708623859,0.5375254897052629,0.8896737904783579
0,206,81,True,False,0.7874633710980488,0.18434831919614453,0.6474750542820182
0,206,81,True,False,0.7217838799962654,0.30095670856199513,0.6437159285200136
